141	anti b	29.9	-34.32	5.06	45.9886
142	T 	9.8	10.88	-2.34	14.9347
142	anti T	60.2	21.12	-10.66	64.7061
143	W 	-9.52	-7.02	7.29	81.572
143	anti W	-18.48	-1.98	73.71	110.632
144	b	15.58	4.51	-51.7	54.3456
144	anti b	3.42	36.49	-3.3	37.0348
145	b	16.49	-31.96	-18.4	40.6127
145	anti b	0.51	-62.04	-21.6	65.8275
146	b	36	-7.81	26.97	45.8459
146	anti b	24	-3.19	60.03	64.8633
147	W 	-3.96	-15.95	-18.29	84.0568
147	anti W	-2.04	-13.05	-12.71	82.4436
148	b	-18.8	74.69	-3.24	77.2011
148	anti b	-1.2	2.31	-32.76	33.128
149	b	-39.9	5.67	10.85	41.9447
149	anti b	-55.1	75.33	20.15	95.5726
150	b	-9.24	-22.08	1.08	24.3217
150	anti b	-12.76	-9.92	34.92	38.7053
151	b	10	13.68	9.69	19.9627
151	anti b	10	24.32	47.31	54.2879
152	b	10.53	23.52	-39.05	46.9728
152	anti b	2.47	24.48	-15.95	29.6183
153	b	46.75	-4.4	66.22	81.2864
153	anti b	38.25	-6.6	19.78	43.7646
154	b	12.18	-49.98	-10.64	52.6976
154	anti b	16.82	-1.02	-17.36	24.5519
155	W 	-50.4	-21.33	-1.32	97.2513
155	anti W	-33.6	-5.67	-0.68	87.307
156	W 	-5.04	6.36	-3.36	80.8584
156	anti W	-2.96	46.64	-80.64	123.076
157	W 	8.16	-35.38	13.95	89.2966
157	anti W	59.84	-22.62	31.05	107.32
158	b	0.43	65.7	26.24	70.8709
158	anti b	42.57	24.3	14.76	51.3617
159	b	-0.91	-2.82	-13.8	14.7205
159	anti b	-0.09	-3.18	-6.2	8.12606
160	W 	9.2	54	-6.37	97.479
160	anti W	10.8	21	-6.63	84.0389
161	b	1.44	2.38	-19.6	20.2329
161	anti b	70.56	4.62	-50.4	86.935
162	W 	-37.44	15.8	1.1	90.0752
162	anti W	-40.56	63.2	20.9	111.969
163	b	-3.4	11.27	-7.83	14.7429
163	anti b	-16.6	37.73	-19.17	45.6517
164	b	-0	-22.36	18.29	29.1885
164	anti b	-19	-3.64	40.71	45.2662
165	W 	-23.97	-3.42	-34.56	90.7832
165	anti W	-27.03	-5.58	-19.44	87.1815
166	b	-2.09	53.58	-0	53.7834
166	anti b	-8.91	40.42	-31	51.881
167	b	-12	6.5	-70.29	71.7245
167	anti b	-4	18.5	-28.71	34.6408
168	b	62.48	35.19	55.2	90.5903
168	anti b	25.52	33.81	24.8	49.2636
169	b	-31.68	22.68	0	39.1852
169	anti b	-34.32	4.32	0	34.8425
170	b	27.73	-59.15	-2.42	65.5058
170	anti b	31.27	-5.85	-19.58	37.5884
171	W 	-7.83	-13.6	13.42	82.9898
171	anti W	-19.17	-6.4	8.58	83.3247
172	b	-19	32.3	-12.72	39.794
172	anti b	-1	5.7	-11.28	13.3492
173	b	-5.39	27.38	-3.54	28.438
173	anti b	-1.61	9.62	-2.46	10.8931
174	T 	-63.75	-6.3	19.4	66.9572
174	anti T	-11.25	-11.7	77.6	79.2992
175	b	-64.74	-61.1	19.78	91.2864
175	anti b	-18.26	-3.9	26.22	32.4592
176	b	54.6	-39.2	-7.84	67.7992
176	anti b	36.4	-58.8	-41.16	80.5855
177	b	59.15	-42.75	9.6	73.7287
177	anti b	31.85	-2.25	54.4	63.2164
178	W 	8.96	3.6	33.3	87.539
178	anti W	19.04	20.4	40.7	94.3192
179	W 	29.76	-19.6	53.94	103.152
179	anti W	63.24	-20.4	39.06	111.365
180	b	5.2	-46.17	22.8	51.9232
180	anti b	46.8	-34.83	37.2	69.3158
181	b	-17.82	10.92	-30.09	36.8738
181	anti b	-48.18	28.08	-28.91	62.9528
182	Z 	-18.9	-33.48	-2.16	98.9869
182	anti Z	-23.1	-2.52	-24.84	97.3273
183	Z 	-22.05	-15.64	0.53	95.1142
183	anti Z	-12.95	-52.36	0.47	105.949
184	b	5.51	-36.4	3.84	37.2497
184	anti b	23.49	-19.6	8.16	31.9374
185	b	13.44	15.12	68.88	71.9109
185	anti b	42.56	38.88	15.12	59.7419
186	b	-22.4	-2.76	-19.55	30.1505
186	anti b	-47.6	-66.24	-3.45	81.7488
187	b	-6.75	19.89	38.64	44.178
187	anti b	-68.25	19.11	30.36	77.2169
188	b	-48	-16.5	-6.56	51.3494
188	anti b	-48	-49.5	-1.44	69.0927
189	b	-59.16	42.24	7.15	73.1623
189	anti b	-27.84	5.76	5.85	29.3247
190	b	29.26	68.82	-18.06	77.0453
190	anti b	8.74	24.18	-24.94	36.0629
191	b	-10.53	13.2	-40.8	44.3535
191	anti b	-28.47	41.8	-44.2	67.2971
192	W 	-0.93	-8.1	-24.65	84.4692
192	anti W	-92.07	-36.9	-4.35	127.743
193	b	8.9	-20.13	-50.92	55.6304
193	anti b	1.1	-40.87	-16.08	44.1317
194	b	-28.98	2.8	-15.98	33.4741
194	anti b	-40.02	11.2	-18.02	45.4888
195	b	-24.25	5.8	-16.56	30.2226
195	anti b	-72.75	23.2	-75.44	107.422
196	b	-36	-67.34	23.65	80.0467
196	anti b	-14	-23.66	19.35	33.8776
197	b	59.15	-4.16	-36	69.4946
197	anti b	5.85	-47.84	-36	60.3022
198	T 	-56.28	-1.98	2	56.3783
198	anti T	-27.72	-20.02	3	34.3708
199	T 	20.16	-21.12	8.16	30.3681
199	anti T	51.84	-42.88	59.84	90.0559
200	W 	0.63	0	-12.24	81.309
200	anti W	20.37	41	-11.76	93.2479
201	b	39.05	2.3	25.11	46.6709
201	anti b	15.95	2.7	55.89	58.334
202	b	6.24	24.6	-31.02	40.2965
202	anti b	5.76	16.4	-62.98	65.4682
203	b	-9.35	-12.92	-60.8	62.9957
203	anti b	-7.65	-63.08	-34.2	72.2822
204	W 	-2.28	-1	-36.75	88.4178
204	anti W	-1.72	-9	-38.25	89.4872
205	b	-42.24	53.36	0	68.1834
205	anti b	-5.76	38.64	0	39.2899
206	W 	-30.87	-3.45	23.46	89.3094
206	anti W	-18.13	-65.55	10.54	105.818
207	W 	-14.43	7.13	35	89.1348
207	anti W	-22.57	15.87	15	86.2972
208	T 	-0	-4.34	-29.67	30.0383
208	anti T	-22	-26.66	-13.33	37.0891
209	b	-14.82	59.64	-2.96	61.6668
209	anti b	-24.18	24.36	-34.04	48.5209
210	b	38.7	17.85	18.56	46.6718
210	anti b	6.3	67.15	10.44	68.376
211	b	-38.4	-37.05	-52.64	75.0713
211	anti b	-1.6	-57.95	-41.36	71.3364
212	b	-16.6	-5.98	-46.5	49.9103
212	anti b	-66.4	-40.02	-28.5	82.706
213	W 	30.24	-1.3	0.92	85.8949
213	anti W	23.76	-63.7	45.08	114.522
214	b	0.76	1.68	20.48	20.9834
214	anti b	37.24	12.32	11.52	41.0948
215	b	2.04	3.64	-21	21.8148
215	anti b	14.96	22.36	-14	30.6144
216	b	-6.72	32.9	-38.54	51.2872
216	anti b	-21.28	37.1	-8.46	43.7983
217	b	43.68	-19.04	-15.68	50.3369
217	anti b	4.32	-48.96	-16.32	51.9573
218	b	-2.13	43.56	-6	44.2208
218	anti b	-68.87	22.44	-34	80.1255
219	W 	-30.87	-27	-12.46	91.0942
219	anti W	-18.13	-18	-1.54	84.3565
220	b	6.75	-4.2	-35.6	36.7156
220	anti b	18.25	-1.8	-4.4	19.3167
221	b	17.4	-5.92	-14.62	23.8542
221	anti b	42.6	-31.08	-71.38	88.8443
222	b	1.04	-13.42	26.66	30.1564
222	anti b	2.96	-47.58	16.34	50.5676
223	b	39.2	-19.52	58.74	73.3862
223	anti b	16.8	-12.48	7.26	22.5426
224	W 	-25.38	-8.32	-50.76	98.7466
224	anti W	-28.62	-17.68	-43.24	97.2745
225	b	1.2	-32.83	-9.92	34.5706
225	anti b	3.8	-16.17	-22.08	27.9447
226	b	-24.49	1.33	-99	102.078
226	anti b	-54.51	5.67	-1	54.9724
227	T 	-26.07	-36.08	23.76	50.4886
227	anti T	-52.93	-45.92	48.24	85.091
228	b	-6.2	-1.56	7.56	10.7471
228	anti b	-13.8	-37.44	6.44	40.6342
229	b	72	-24.08	-3.2	76.1023
229	anti b	3	-18.92	-4.8	20.1861
230	b	72	-24.08	-3.2	76.1023
230	anti b	3	-18.92	-4.8	20.1861
231	b	-8.55	-54.72	-1.96	55.576
